seed,generations,population,mutation_rate,crossover_rate,fitness
0,50,10,0.1,0.7,680
1,100,10,0.1,0.7,700
2,100,20,0.1,0.7,760
3,100,10,0.2,0.7,720
4,100,10,0.1,0.9,600
5,50,20,0.1,0.7,800
6,50,20,0.2,0.7,740
7,50,20,0.1,0.9,700
8,50,10,0.2,0.7,780
9,50,10,0.2,0.9,660
10,50,10,0.1,0.9,760
11,25,10,0.1,0.7,700
12,25,5,0.1,0.7,760
13,25,10,0.05,0.7,660
14,25,10,0.1,0.5,700
15,50,5,0.1,0.7,780
16,50,5,0.05,0.7,720
17,50,5,0.1,0.5,640
18,50,10,0.05,0.7,780
19,50,10,0.05,0.4,720
20,50,10,0.1,0.4,740
21,100,20,0.2,0.7,740
22,100,10,0.2,0.9,760
23,100,20,0.1,0.9,660
24,50,20,0.2,0.9,680
25,25,5,0.05,0.7,700
26,25,5,0.1,0.5,760
27,25,10,0.05,0.5,680
28,50,5,0.05,0.5,700
29,100,20,0.2,0.9,720
30,25,5,0.05,0.4,700
