Seed,Generations,PopulationSize,MutationRate,CrossoverRate,Fitness
1,50,10,0.1,0.7,900
2,50,10,0.05,0.6,920
3,50,10,0.05,0.8,900
4,100,10,0.05,0.8,900
5,100,10,0.05,0.2,920
6,150,10,0.05,0.2,880
7,150,10,0.05,0.3,980
8,150,10,0.08,0.7,860
9,150,10,0.04,0.7,900
10,150,10,0.1,0.7,960
11,120,10,0.1,0.7,880
12,50,10,0.1,0.7,920
13,200,10,0.1,0.7,920
14,200,30,0.1,0.7,920
15,50,10,0.18,0.7,880
16,50,10,0.14,0.7,960
17,50,10,0.16,0.7,900
18,50,10,0.18,0.7,900
19,50,10,0.2,0.7,880
20,50,10,0.3,0.7,960
21,50,10,0.1,0.1,900
22,75,10,0.1,0.7,920
23,200,10,0.1,0.7,940
24,50,15,0.1,0.7,920
25,50,25,0.1,0.7,860
26,100,20,0.1,0.7,920
27,100,20,0.2,0.5,880
28,200,20,0.2,0.7,880
29,50,10,0.16,0.6,920
30,125,20,0.2,0.9,900
